ISO 3166-1 numeric code,Location,Time,Age,Both sexes combined,Female,Male
124,            Canada,1950,0-4,   1 636,    801,    835
124,            Canada,1950,5-9,   1 316,    645,    671
124,            Canada,1950,10-14,   1 125,    554,    571
124,            Canada,1950,15-19,   1 078,    534,    544
124,            Canada,1950,20-24,   1 110,    558,    552
124,            Canada,1950,25-29,   1 114,    564,    550
124,            Canada,1950,30-34,   1 034,    521,    513
124,            Canada,1950,35-39,    966,    478,    488
124,            Canada,1950,40-44,    843,    411,    432
124,            Canada,1950,45-49,    731,    353,    378
124,            Canada,1950,50-54,    656,    318,    338
124,            Canada,1950,55-59,    572,    276,    296
124,            Canada,1950,60-64,    502,    239,    263
124,            Canada,1950,65-69,    418,    197,    221
124,            Canada,1950,70-74,    303,    147,    156
124,            Canada,1950,75-79,    184,    92,    92
124,            Canada,1950,80-84,    92,    49,    42
124,            Canada,1950,85-89,    41,    23,    18
124,            Canada,1950,90-94,    11,    6,    4
124,            Canada,1950,95-99,    2,    1,    1
124,            Canada,1950,100+,    0,    0,    0
124,            Canada,1955,0-4,   1 938,    948,    990
124,            Canada,1955,5-9,   1 725,    845,    880
124,            Canada,1955,10-14,   1 368,    670,    697
124,            Canada,1955,15-19,   1 139,    563,    576
124,            Canada,1955,20-24,   1 118,    557,    561
124,            Canada,1955,25-29,   1 184,    589,    595
124,            Canada,1955,30-34,   1 178,    596,    582
124,            Canada,1955,35-39,   1 090,    546,    545
124,            Canada,1955,40-44,    996,    488,    507
124,            Canada,1955,45-49,    852,    411,    441
124,            Canada,1955,50-54,    721,    347,    374
124,            Canada,1955,55-59,    621,    304,    317
124,            Canada,1955,60-64,    523,    257,    266
124,            Canada,1955,65-69,    457,    222,    235
124,            Canada,1955,70-74,    361,    178,    183
124,            Canada,1955,75-79,    222,    112,    111
124,            Canada,1955,80-84,    124,    66,    58
124,            Canada,1955,85-89,    44,    25,    19
124,            Canada,1955,90-94,    14,    8,    5
124,            Canada,1955,95-99,    2,    1,    1
124,            Canada,1955,100+,    0,    0,    0
124,            Canada,1960,0-4,   2 216,   1 083,   1 133
124,            Canada,1960,5-9,   2 031,    993,   1 038
124,            Canada,1960,10-14,   1 772,    867,    906
124,            Canada,1960,15-19,   1 374,    675,    699
124,            Canada,1960,20-24,   1 177,    590,    587
124,            Canada,1960,25-29,   1 211,    595,    617
124,            Canada,1960,30-34,   1 265,    627,    638
124,            Canada,1960,35-39,   1 241,    625,    616
124,            Canada,1960,40-44,   1 097,    547,    550
124,            Canada,1960,45-49,    990,    485,    504
124,            Canada,1960,50-54,    837,    407,    430
124,            Canada,1960,55-59,    691,    337,    354
124,            Canada,1960,60-64,    572,    285,    286
124,            Canada,1960,65-69,    482,    243,    239
124,            Canada,1960,70-74,    397,    202,    194
124,            Canada,1960,75-79,    266,    135,    131
124,            Canada,1960,80-84,    150,    80,    69
124,            Canada,1960,85-89,    61,    35,    26
124,            Canada,1960,90-94,    15,    9,    6
124,            Canada,1960,95-99,    3,    2,    1
124,            Canada,1960,100+,    0,    0,    0
124,            Canada,1965,0-4,   2 242,   1 092,   1 150
124,            Canada,1965,5-9,   2 252,   1 102,   1 150
124,            Canada,1965,10-14,   2 041,    999,   1 043
124,            Canada,1965,15-19,   1 767,    870,    897
124,            Canada,1965,20-24,   1 387,    696,    691
124,            Canada,1965,25-29,   1 213,    607,    606
124,            Canada,1965,30-34,   1 237,    608,    628
124,            Canada,1965,35-39,   1 276,    634,    641
124,            Canada,1965,40-44,   1 227,    618,    608
124,            Canada,1965,45-49,   1 066,    534,    532
124,            Canada,1965,50-54,    962,    476,    486
124,            Canada,1965,55-59,    792,    391,    401
124,            Canada,1965,60-64,    645,    324,    321
124,            Canada,1965,65-69,    522,    271,    251
124,            Canada,1965,70-74,    420,    223,    198
124,            Canada,1965,75-79,    296,    158,    138
124,            Canada,1965,80-84,    182,    100,    82
124,            Canada,1965,85-89,    76,    44,    32
124,            Canada,1965,90-94,    22,    13,    8
124,            Canada,1965,95-99,    3,    2,    1
124,            Canada,1965,100+,    0,    0,    0
124,            Canada,1970,0-4,   1 876,    916,    960
124,            Canada,1970,5-9,   2 281,   1 114,   1 167
124,            Canada,1970,10-14,   2 283,   1 116,   1 166
124,            Canada,1970,15-19,   2 077,   1 023,   1 054
124,            Canada,1970,20-24,   1 848,    919,    930
124,            Canada,1970,25-29,   1 523,    753,    770
124,            Canada,1970,30-34,   1 291,    636,    655
124,            Canada,1970,35-39,   1 269,    619,    649
124,            Canada,1970,40-44,   1 269,    627,    642
124,            Canada,1970,45-49,   1 215,    613,    602
124,            Canada,1970,50-54,   1 038,    524,    513
124,            Canada,1970,55-59,    934,    470,    464
124,            Canada,1970,60-64,    756,    384,    371
124,            Canada,1970,65-69,    602,    315,    286
124,            Canada,1970,70-74,    451,    247,    203
124,            Canada,1970,75-79,    326,    184,    141
124,            Canada,1970,80-84,    207,    120,    88
124,            Canada,1970,85-89,    96,    57,    39
124,            Canada,1970,90-94,    28,    18,    11
124,            Canada,1970,95-99,    5,    3,    2
124,            Canada,1970,100+,    0,    0,    0
124,            Canada,1975,0-4,   1 763,    859,    905
124,            Canada,1975,5-9,   1 935,    945,    991
124,            Canada,1975,10-14,   2 337,   1 141,   1 195
124,            Canada,1975,15-19,   2 341,   1 149,   1 192
124,            Canada,1975,20-24,   2 177,   1 081,   1 096
124,            Canada,1975,25-29,   1 988,    977,   1 011
124,            Canada,1975,30-34,   1 602,    785,    817
124,            Canada,1975,35-39,   1 321,    647,    673
124,            Canada,1975,40-44,   1 285,    627,    657
124,            Canada,1975,45-49,   1 256,    624,    632
124,            Canada,1975,50-54,   1 207,    616,    591
124,            Canada,1975,55-59,    994,    511,    483
124,            Canada,1975,60-64,    893,    460,    432
124,            Canada,1975,65-69,    701,    371,    331
124,            Canada,1975,70-74,    524,    287,    238
124,            Canada,1975,75-79,    355,    208,    148
124,            Canada,1975,80-84,    223,    136,    87
124,            Canada,1975,85-89,    113,    70,    42
124,            Canada,1975,90-94,    37,    24,    13
124,            Canada,1975,95-99,    7,    5,    2
124,            Canada,1975,100+,    1,    0,    0
124,            Canada,1980,0-4,   1 784,    869,    915
124,            Canada,1980,5-9,   1 804,    878,    926
124,            Canada,1980,10-14,   1 969,    960,   1 009
124,            Canada,1980,15-19,   2 400,   1 175,   1 225
124,            Canada,1980,20-24,   2 413,   1 195,   1 218
124,            Canada,1980,25-29,   2 194,   1 094,   1 100
124,            Canada,1980,30-34,   2 011,    992,   1 019
124,            Canada,1980,35-39,   1 596,    783,    814
124,            Canada,1980,40-44,   1 328,    652,    676
124,            Canada,1980,45-49,   1 265,    622,    643
124,            Canada,1980,50-54,   1 233,    619,    615
124,            Canada,1980,55-59,   1 168,    606,    562
124,            Canada,1980,60-64,    950,    501,    449
124,            Canada,1980,65-69,    826,    443,    384
124,            Canada,1980,70-74,    615,    342,    273
124,            Canada,1980,75-79,    422,    245,    176
124,            Canada,1980,80-84,    252,    159,    93
124,            Canada,1980,85-89,    128,    85,    44
124,            Canada,1980,90-94,    48,    32,    15
124,            Canada,1980,95-99,    10,    7,    3
124,            Canada,1980,100+,    1,    1,    0
124,            Canada,1985,0-4,   1 838,    895,    943
124,            Canada,1985,5-9,   1 809,    881,    928
124,            Canada,1985,10-14,   1 831,    894,    938
